PIC_ID,WETLAND_NAME,ADDRESS,LATITUDE,LONGITUDE,WETLAND_TYPE
526,덕신리습지,경상북도 울진군 매화면 덕신리,"N35°46’07.58""","E128°24’14.43""",소택지
527,천축산2습지,경상북도 울진군 금강송면 왕피리,"N35°45’01.64""","E128°24’06.29""",저층습원
528,천축산3습지,경상북도 울진군 금강송면 왕피리,"N35°45’23.46""","E128°23’51.44""",저층습원
529,오산습지(울진),경상북도 울진군 매화면 오산리,"N35°52’43.35""","E128°29’31.07""",소택지
530,매화리습지,경상북도 울진군 매화면 매화리,"N35°53’46.29""","E128°33’21.04""",하도습지
531,말루동습지,경상북도 울진군 울진읍 읍남리,"N35°52’41.47""","E128°28’05.97""",하도습지
532,수산리습지,경상북도 울진군 근남면 산포리,"N35°44’55.88""","E128°29’20.16""",하도습지
533,노음리습지,경상북도 울진군 근남면 노음리,"N35°41’25.67""","E128°27’36.79""",하도습지
534,연호습지,경상북도 울진군 울진읍 연지리,"N35°41’15.78""","E128°28’20.63""",담수호습지
535,선구리습지,경상북도 울진군 온정면 선구리,"N35°41’25.72""","E128°30’02.24""",소택지
536,삼산리습지,경상북도 울진군 기성면 삼산리,"N35°41’00.28""","E128°25’58.18""",소택지
537,사동리습지,경상북도 울진군 기성면 사동리,"N35°49’54.47""","E128°28’44.14""",소택지
538,황보리습지,경상북도 울진군 기성면 황보리,"N35°12’25.74""","E129°09’21.15""",저층습원
539,감천습지,경상북도 영양군 영양읍 감천리,"N35°15’55.02""","E129°12’18.01""",하도습지
540,황룡천 인공습지,경상북도 영양군 영양읍 황용리,"N35°41’58.06""","E129°13’07.32""",담수호습지
541,반변천1습지,경상북도 영양군 영양읍 하원리,"N35°42’21.70""","E129°13’17.98""",하도습지
542,파대지,경상북도 영양군 영양읍 삼지리,"N35°41’01.47""","E129°12’32.37""",담수호습지
543,원당지(영양),경상북도 영양군 영양읍 하원리,"N35°42’44.47""","E129°09’40.01""",담수호습지
544,연지(영양),경상북도 영양군 영양읍 삼지리,"N35°33’47.24""","E129°14’30.03""",담수호습지
545,반변천2습지,경상북도 영양군 입암면 병옥리,"N35°33’30.79""","E129°15’53.18""",하도습지
546,재피골못,경상북도 청송군 진보면 부곡리,"N35°34’33.24""","E129°12’42.99""",담수호습지
547,덕인리습지,경상북도 울진군 온정면 덕인리,"N35°32’17.23""","E129°05’57.11""",소택지
548,오곡리습지,경상북도 울진군 평해읍 오곡리,"N35°27’27.62""","E129°08’07.70""",소택지
549,황보습지,경상북도 울진군 기성면 황보리,"N35°27’46.1""","E129°08’35.6""",하도습지
550,평해습지,경상북도 울진군 평해읍 직산리,"N35°27’36.13""","E129°08’36.15""",하도습지
551,월송습지(울진),경상북도 울진군 평해읍 월송리,"N35°27’26.0""","E129°08’03.1""",사구습지
